Season,Name,Nationality,Type,team,price,Unnamed: 0,Players,Base Price,TYPE,COST IN ₹ (CR.),Cost IN $ (000),2023 Squad,year,Team,Base,Sold
2023.0,Ajinkya Rahane ,Indian ,Batter ,Chennai Super Kings,5000000.0,,,,,,,,,,,
2023.0,Bhagath Varma ,Indian ,All-Rounder ,Chennai Super Kings,2000000.0,,,,,,,,,,,
2023.0,Kyle Jamieson ,Overseas ,Bowler ,Chennai Super Kings,10000000.0,,,,,,,,,,,
2023.0,Ajay Mandal ,Indian ,All-Rounder ,Chennai Super Kings,2000000.0,,,,,,,,,,,
2023.0,Nishant Sindhu ,Indian ,All-Rounder ,Chennai Super Kings,6000000.0,,,,,,,,,,,
2023.0,Shaik Rasheed ,Indian ,Batter ,Chennai Super Kings,2000000.0,,,,,,,,,,,
2023.0,Ben Stokes ,Overseas ,All-Rounder ,Chennai Super Kings,162500000.0,,,,,,,,,,,
2023.0,Phil Salt ,Overseas ,Wicket-Keeper ,Delhi Capitals,20000000.0,,,,,,,,,,,
2023.0,Ishant Sharma ,Indian ,Bowler ,Delhi Capitals,5000000.0,,,,,,,,,,,
2023.0,Rilee Rossouw ,Overseas ,Batter ,Delhi Capitals,46000000.0,,,,,,,,,,,
2023.0,Manish Pandey ,Indian ,Batter ,Delhi Capitals,24000000.0,,,,,,,,,,,
2023.0,Mukesh Kumar ,Indian ,Bowler ,Delhi Capitals,55000000.0,,,,,,,,,,,
2023.0,Shivam Mavi ,Indian ,Bowler ,Gujarat Titans,60000000.0,,,,,,,,,,,
2023.0,K.S. Bharat ,Indian ,Wicket-Keeper ,Gujarat Titans,12000000.0,,,,,,,,,,,
2023.0,Urvil Patel ,Indian ,Wicket-Keeper ,Gujarat Titans,2000000.0,,,,,,,,,,,
2023.0,Mohit Sharma ,Indian ,Bowler ,Gujarat Titans,5000000.0,,,,,,,,,,,
2023.0,Joshua Little ,Overseas ,Bowler ,Gujarat Titans,44000000.0,,,,,,,,,,,
2023.0,Kane Williamson ,Overseas ,Batter ,Gujarat Titans,20000000.0,,,,,,,,,,,
