ID,Date,Team1,Team2,WinningTeam,year
1082591,2017-04-05,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,2017
1082592,2017-04-06,Rising Pune Supergiants,Mumbai Indians,Rising Pune Supergiants,2017
1082593,2017-04-07,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,2017
1082595,2017-04-08,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,2017
1082594,2017-04-08,Punjab Kings,Rising Pune Supergiants,Punjab Kings,2017
1082597,2017-04-09,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,2017
1082596,2017-04-09,Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,2017
1082598,2017-04-10,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,2017
1082599,2017-04-11,Rising Pune Supergiants,Delhi Capitals,Delhi Capitals,2017
1082600,2017-04-12,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,2017
1082601,2017-04-13,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,2017
1082603,2017-04-14,Gujarat Lions,Rising Pune Supergiants,Gujarat Lions,2017
1082602,2017-04-14,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,2017
1082604,2017-04-15,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,2017
1082605,2017-04-15,Delhi Capitals,Punjab Kings,Delhi Capitals,2017
1082607,2017-04-16,Royal Challengers Bangalore,Rising Pune Supergiants,Rising Pune Supergiants,2017
1082606,2017-04-16,Mumbai Indians,Gujarat Lions,Mumbai Indians,2017
1082609,2017-04-17,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,2017
1082608,2017-04-17,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,2017
1082610,2017-04-18,Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore,2017
1082611,2017-04-19,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,2017
1082612,2017-04-20,Punjab Kings,Mumbai Indians,Mumbai Indians,2017
1082613,2017-04-21,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,2017
1082615,2017-04-22,Rising Pune Supergiants,Sunrisers Hyderabad,Rising Pune Supergiants,2017
1082614,2017-04-22,Mumbai Indians,Delhi Capitals,Mumbai Indians,2017
1082617,2017-04-23,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,2017
1082616,2017-04-23,Gujarat Lions,Punjab Kings,Punjab Kings,2017
1082618,2017-04-24,Mumbai Indians,Rising Pune Supergiants,Rising Pune Supergiants,2017
1082620,2017-04-26,Rising Pune Supergiants,Kolkata Knight Riders,Kolkata Knight Riders,2017
1082621,2017-04-27,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,2017
1082623,2017-04-28,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,2017
1082622,2017-04-28,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,2017
1082624,2017-04-29,Rising Pune Supergiants,Royal Challengers Bangalore,Rising Pune Supergiants,2017
1082627,2017-04-30,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,2017
1082626,2017-04-30,Punjab Kings,Delhi Capitals,Punjab Kings,2017
1082629,2017-05-01,Rising Pune Supergiants,Gujarat Lions,Rising Pune Supergiants,2017
